arxiv,abstract
1008.2461,"A search for new heavy particles manifested as resonances in two-jet final states is presented. The data were produced in 7 TeV proton-proton collisions by the Large Hadron Collider (LHC) and correspond to an integrated luminosity of 315 nb^-1 collected by the ATLAS detector. No resonances were observed. Upper limits were set on the product of cross section and signal acceptance for excited-quark (q*) production as a function of q* mass. These exclude at the 95% CL the q* mass interval 0.30 &lt; mq* &lt; 1.26 TeV, extending the reach of previous experiments."
1103.3864,"A search for new interactions and resonances produced in LHC proton-proton (pp) collisions at a centre-of-mass energy sqrt(s)= 7 TeV has been performed with the ATLAS detector. Using a data set with an integrated luminosity of 36 pb-1 dijet mass and angular distributions have been measured up to dijet masses of \sim 3.5 TeV and found to be in good agreement with Standard Model predictions. This analysis sets limits at 95% C.L. on various models for new physics: an excited quark is excluded with mass between 0.60 and 2.64 TeV, an axigluon hypothesis is excluded for axigluon masses between 0.60 and 2.10 TeV and Randall-Meade quantum black holes are excluded in models with six extra space-time dimensions for quantum gravity scales between 0.75 and 3.67 TeV. Production cross section limits as a function of dijet mass are set using a simplified Gaussian signal model to facilitate comparisons with other hypotheses. Analysis of the dijet angular distribution using a novel technique 18 simultaneously employing the dijet mass excludes quark contact interactions with a compositeness scale Λ below 9.5 TeV."
1108.6311,"Invariant mass distributions of jet pairs (dijets) produced in LHC proton-proton collisions at a centre-of-mass energy sqrt(s)=7 TeV have been studied using a data set corresponding to an integrated luminosity of 1.0 fb^-1 recorded in 2011 by ATLAS. Dijet masses up to ~4 TeV are observed in the data, and no evidence of resonance production over background is found. Limits are set at 95% CL for several new physics hypotheses: excited quarks are excluded for masses below 2.99 TeV, axigluons are excluded for masses below 3.32 TeV, and colour octet scalar resonances are excluded for masses below 1.92 TeV."
1407.1376,"Dijet events produced in LHC proton--proton collisions at a center-of-mass energy $\sqrt{s}=8$ TeV are studied with the ATLAS detector using the full 2012 data set, with an integrated luminosity of 20.3 fb$^{-1}$. Dijet masses up to about 4.5 TeV are probed. No resonance-like features are observed in the dijet mass spectrum. Limits on the cross section times acceptance are set at the 95% credibility level for various hypotheses of new phenomena in terms of mass or energy scale, as appropriate. This analysis excludes excited quarks with a mass below 4.09 TeV, color-octet scalars with a mass below 2.72 TeV, heavy $W'$ bosons with a mass below 2.45 TeV, chiral ${W^\ast}$ bosons with a mass below 1.75 TeV, and quantum black holes with six extra space-time dimensions with threshold mass below 5.82 TeV."
1512.01530,"This Letter describes a model-agnostic search for pairs of jets (dijets) produced by resonant and non-resonant phenomena beyond the Standard Model in 3.6 fb$^{-1}$ of proton-proton collisions with a centre-of-mass energy of $\sqrt{s}=13$ TeV recorded by the ATLAS detector at the Large Hadron Collider. The distribution of the invariant mass of the two leading jets is examined for local excesses above a data-derived estimate of the smoothly falling prediction of the Standard Model. The data are also compared to a Monte Carlo simulation of Standard Model angular distributions derived from the rapidity of the two jets. No evidence of anomalous phenomena is observed in the data, which are used to exclude, at 95% CL, quantum black holes with threshold masses below 8.3 TeV, 8.1 TeV, or 5.3 TeV in three different benchmark scenarios; resonance masses below 5.2 TeV for excited quarks, 2.6 TeV in a $W^\prime$ model, a range of masses starting from $m_{Z^\prime}=1.5$ TeV and couplings from $g_q = 0.2$ in a $Z^\prime$ model; and contact interactions with a compositeness scale below 12.0 TeV and 17.5 TeV respectively for destructive and constructive interference between the new interaction and QCD processes. These results significantly extend the ATLAS limits obtained from 8 TeV data. Gaussian-shaped contributions to the mass distribution are also excluded if the effective cross-section exceeds values ranging from approximately 50-300 fb for masses below 2 TeV to 2-20 fb for masses above 4 TeV."
1703.09127,"Dijet events are studied in the proton--proton collision dataset recorded at $\sqrt{s}=$13 TeV with the ATLAS detector at the Large Hadron Collider in 2015 and 2016, corresponding to integrated luminosities of 3.5 fb$^{-1}$ and 33.5 fb$^{-1}$ respectively. Invariant mass and angular distributions are compared to background predictions and no significant deviation is observed. For resonance searches, a new method for fitting the background component of the invariant mass distribution is employed. The dataset is then used to set upper limits at a 95% confidence level on a range of new physics scenarios. Excited quarks with masses below 6.0 TeV are excluded, and limits are set on quantum black holes, heavy W' bosons, W* bosons, and a range of masses and couplings in a Z' dark matter mediator model. Model-independent limits on signals with a Gaussian shape are also set, using a new approach allowing factorization of physics and detector effects. From the angular distributions, a scale of new physics in contact interaction models is excluded for scenarios with either constructive or destructive interference. These results represent a substantial improvement over those obtained previously with lower integrated luminosity."
1910.08447,"A search for new resonances decaying into a pair of jets is reported using the dataset of proton-proton collisions recorded at $\sqrt{s}=13$ TeV with the ATLAS detector at the Large Hadron Collider between 2015 and 2018, corresponding to an integrated luminosity of 139 fb$^{-1}$. The distribution of the invariant mass of the two leading jets is examined for local excesses above a data-derived estimate of the Standard Model background. In addition to an inclusive dijet search, events with jets identified as containing $b$-hadrons are examined specifically. No significant excess of events above the smoothly falling background spectra is observed. The results are used to set cross-section upper limits at 95% confidence level on a range of new physics scenarios. Model-independent limits on Gaussian-shaped signals are also reported. The analysis looking at jets containing $b$-hadrons benefits from improvements in the jet flavour identification at high transverse momentum, which increases its sensitivity relative to the previous analysis beyond that expected from the higher integrated luminosity."
2005.02983,"This Letter describes a search for narrowly resonant new physics using a machine-learning anomaly detection procedure that does not rely on a signal simulations for developing the analysis selection. Weakly supervised learning is used to train classifiers directly on data to enhance potential signals. The targeted topology is dijet events and the features used for machine learning are the masses of the two jets. The resulting analysis is essentially a three-dimensional search $A\rightarrow BC$, for $m_A\sim\mathcal{O}(\text{TeV})$, $m_B,m_C\sim\mathcal{O}(100\text{ GeV})$ and $B,C$ are reconstructed as large-radius jets, without paying a penalty associated with a large trials factor in the scan of the masses of the two jets. The full Run 2 $\sqrt{s}=13$ TeV $pp$ collision data set of 139 fb$^{-1}$ recorded by the ATLAS detector at the Large Hadron Collider is used for the search. There is no significant evidence of a localized excess in the dijet invariant mass spectrum between 1.8 and 8.2 TeV. Cross-section limits for narrow-width $A$, $B$, and $C$ particles vary with $m_A$, $m_B$, and $m_C$. For example, when $m_A=3$ TeV and $m_B\gtrsim 200$ GeV, a production cross section between 1 and 5 fb is excluded at 95% confidence level, depending on $m_C$. For certain masses, these limits are up to 10 times more sensitive than those obtained by the inclusive dijet search. These results are complementary to the dedicated searches for the case that $B$ and $C$ are Standard Model bosons."
1112.3580,"This Letter describes a model-independent search for production of new resonant states in photon-jet events in 2.11 fb^-1 of proton-proton collisions at sqrt(s) = 7 TeV. We compare the photon-jet mass distribution to a data-driven background estimate and find consistency with the background hypothesis. Given the lack of evidence for a signal, we set 95% CL limits on generic Gaussian-shape signals and on a benchmark excited-quark (q*) model, excluding 2 TeV Gaussian resonances with cross section times branching ratio times acceptance times efficiency near 5 fb and excluding q* masses below 2.46 TeV, respectively."
1309.3230,This Letter describes a model-independent search for the production of new resonances in photon + jet events using 20 inverse fb of proton--proton LHC data recorded with the ATLAS detector at a centre-of-mass energy of sqrt(s) = 8 TeV. The photon + jet mass distribution is compared to a background model fit from data; no significant deviation from the background-only hypothesis is found. Limits are set at 95% credibility level on generic Gaussian-shaped signals and two benchmark phenomena beyond the Standard Model: non-thermal quantum black holes and excited quarks. Non-thermal quantum black holes are excluded below masses of 4.6 TeV and excited quarks are excluded below masses of 3.5 TeV.
