arxiv,title,journal,doi,year
1008.2461,Search for New Particles in Two-Jet Final States in 7 TeV Proton-Proton Collisions with the ATLAS Detector at the LHC,"Phys.Rev.Lett.105:161801,2010",10.1103/PhysRevLett.105.161801,2010
1103.3864,Search for New Physics in Dijet Mass and Angular Distributions in pp Collisions at sqrt(s) = 7 TeV Measured with the ATLAS Detector,New J. Phys. 13 (2011) 053044,10.1088/1367-2630/13/5/053044,2011
1108.6311,Search for New Physics in the Dijet Mass Distribution using 1 fb^-1 of pp Collision Data at sqrt(s) = 7 TeV collected by the ATLAS Detector,Phys.Lett.B 708 (2012) 37-54,10.1016/j.physletb.2012.01.035,2011
1407.1376,Search for new phenomena in the dijet mass distribution using $p-p$ collision data at $\sqrt{s}=8$ TeV with the ATLAS detector,"Phys. Rev. D 91, 052007 (2015)",10.1103/PhysRevD.91.052007,2014
1512.01530,Search for New Phenomena in Dijet Mass and Angular Distributions from $pp$ Collisions at $\sqrt{s}$ = 13 TeV with the ATLAS Detector,Physics Letters B 754 (2016) 302-322,10.1016/j.physletb.2016.01.032,2015
1703.09127,Search for new phenomena in dijet events using 37 fb$^{-1}$ of $pp$ collision data collected at $\sqrt{s}=$13 TeV with the ATLAS detector,"Phys. Rev. D 96, 052004 (2017)",10.1103/PhysRevD.96.052004,2017
1910.08447,Search for new resonances in mass distributions of jet pairs using 139 fb$^{-1}$ of $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,JHEP 03 (2020) 145,10.1007/JHEP03(2020)145,2019
2005.02983,Dijet resonance search with weak supervision using $\sqrt{s}=13$ TeV $pp$ collisions in the ATLAS detector,"Phys. Rev. Lett. 125, 131801 (2020)",10.1103/PhysRevLett.125.131801,2020
1112.3580,Search for production of resonant states in the photon-jet mass distribution using pp collisions at sqrt(s) = 7 TeV collected by the ATLAS detector,Phys. Rev. Lett. 108 (2012) 211802,10.1103/PhysRevLett.108.211802,2011
1309.3230,Search for new phenomena in photon+jet events collected in proton--proton collisions at sqrt(s) = 8 TeV with the ATLAS detector,Phys.Lett.B 728 C (2014) 562-578,10.1016/j.physletb.2013.12.029,2013
1512.05910,Search for new phenomena with photon+jet events in proton-proton collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector,JHEP03(2016)041,10.1007/JHEP03(2016)041,2015
1709.10440,Search for new phenomena in high-mass final states with a photon and a jet from $pp$ collisions at $\sqrt{s}$ = 13 TeV with the ATLAS detector,Eur. Phys. J. C (2018) 102,10.1140/epjc/s10052-018-5553-2,2017
1804.03496,Search for low-mass dijet resonances using trigger-level jets with the ATLAS detector in $pp$ collisions at $\sqrt{s}=13$ TeV,Phys. Rev. Lett. 121 (2018) 081801,10.1103/PhysRevLett.121.081801,2018
2509.01219,Search for electroweak-scale dijet resonances using trigger-level analysis with the ATLAS detector in $132$ fb$^{-1}$ of $pp$ collisions at $\sqrt{s} = 13$ TeV,Phys. Rev. D 112 (2025) 092015,10.1103/15p2-bkg8,2025
2606.03222,Search for electroweak scale dijet resonances in pile-up collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,,,2026
1801.08769,Search for light resonances decaying to boosted quark pairs and produced in association with a photon or a jet in proton-proton collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,Phys. Lett. B 788 (2019) 316,10.1016/j.physletb.2018.09.062,2018
1901.10917,Search for low-mass resonances decaying into two jets and produced in association with a photon using $pp$ collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector,Phys. Lett. B 795 (2019) 56,10.1016/j.physletb.2019.03.067,2019
2403.08547,Search for low-mass resonances decaying into two jets and produced in association with a photon or a jet at $\sqrt{s}=13$ TeV with the ATLAS detector,Phys. Rev. D 110 (2024) 032002,10.1103/PhysRevD.110.032002,2024
1603.08791,Search for resonances in the mass distribution of jet pairs with one or two jets identified as $b$-jets in proton--proton collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,Physics Letters B 759 (2016) 229-246,10.1016/j.physletb.2016.05.064,2016
1805.09299,Search for resonances in the mass distribution of jet pairs with one or two jets identified as $b$-jets in proton-proton collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,"Phys. Rev. D 98, 032016 (2018)",10.1103/PhysRevD.98.032016,2018
2108.09059,Search for heavy particles in the $b$-tagged dijet mass distribution with additional $b$-tagged jets in proton-proton collisions at $\sqrt{s} = 13$ TeV with the ATLAS experiment,Phys. Rev. D 105 (2022) 012001,10.1103/PhysRevD.105.012001,2021
1110.2693,Search for massive colored scalars in four-jet final states in sqrt{s}=7 TeV proton-proton collisions with the ATLAS detector,Eur.Phys.J.C 71 (2011) 1828,10.1140/epjc/s10052-011-1828-6,2011
1210.4826,Search for pair-produced massive coloured scalars in four-jet final states with the ATLAS detector in proton-proton collisions at sqrt(s) = 7 TeV,Eur.Phys.J. C73 (2013) 2263,10.1140/epjc/s10052-012-2263-z,2012
1710.07171,A search for pair-produced resonances in four-jet final states at $\sqrt{s}$ =13 TeV with the ATLAS detector,Eur. Phys. J. C 78 (2018) 250,10.1140/epjc/s10052-018-5693-4,2017
1210.4813,Search for pair production of massive particles decaying into three quarks with the ATLAS detector in sqrt(s) = 7 TeV pp collisions at the LHC,JHEP 1212 (2012) 086,10.1007/JHEP12(2012)086,2012
1804.03568,Search for R-parity-violating supersymmetric particles in multi-jet final states produced in $p$-$p$ collisions at $\sqrt{s} =13$ TeV using the ATLAS detector at the LHC,Phys. Lett. B 785 (2018) 136,10.1016/j.physletb.2018.08.021,2018
2004.01678,Search for Higgs boson decays into a $Z$ boson and a light hadronically decaying resonance using 13 TeV $pp$ collision data from the ATLAS detector,Phys. Rev. Lett. 125 (2020) 221802,10.1103/PhysRevLett.125.221802,2020
2411.16361,Search for Higgs boson decays into a $Z$ boson and a light hadronically decaying resonance in $pp$ collisions at $\sqrt{s}$=13 TeV with the ATLAS detector,Phys. Lett. B 868 (2025) 139671,10.1016/j.physletb.2025.139671,2024
2002.11325,Search for dijet resonances in events with an isolated charged lepton using $\sqrt{s} = 13$ TeV proton-proton collision data collected by the ATLAS detector,JHEP 06 (2020) 151,10.1007/JHEP06(2020)151,2020
2311.03944,Search for Resonant Production of Dark Quarks in the Dijet Final State with the ATLAS Detector,JHEP 02 (2024) 128,10.1007/JHEP02(2024)128,2023
2408.00049,Search for boosted low-mass resonances decaying into hadrons produced in association with a photon in pp collisions at $\sqrt{s}=$13 TeV with the ATLAS detector,JHEP 01 (2025) 099,10.1007/JHEP01(2025)099,2024
1202.1414,Search for the Standard Model Higgs boson in the diphoton decay channel with 4.9 fb-1 of pp collisions at sqrt(s) = 7 TeV with ATLAS,Phys. Rev. Lett. 108 (2012) 111803,10.1103/PhysRevLett.108.111803,2012
1205.0701,Search for a fermiophobic Higgs boson in the diphoton decay channel with the ATLAS detector,Eur. Phys. J. C (2012) 72:2157,10.1140/epjc/s10052-012-2157-0,2012
1407.6583,Search for Scalar Diphoton Resonances in the Mass Range $65-600$ GeV with the ATLAS Detector in $pp$ Collision Data at $\sqrt{s}$ = 8 $TeV$,"Phys. Rev. Lett. 113, 171801 (2014)",10.1103/PhysRevLett.113.171801,2014
1504.05511,Search for high-mass diphoton resonances in $pp$ collisions at $\sqrt{s}=8$ TeV with the ATLAS detector,"Phys. Rev. D 92, 032004 (2015)",10.1103/PhysRevD.92.032004,2015
1606.03833,Search for resonances in diphoton events at $\sqrt{s}$=13 TeV with the ATLAS detector,JHEP 09 (2016) 001,10.1007/JHEP09(2016)001,2016
1707.04147,Search for new phenomena in high-mass diphoton final states using 37 fb$^{-1}$ of proton-proton collisions collected at $\sqrt{s}=13$ TeV with the ATLAS detector,Phys. Lett. B 775 (2017) 105,10.1016/j.physletb.2017.10.039,2017
2102.13405,Search for resonances decaying into photon pairs in 139 fb$^{-1}$ of $pp$ collisions at $\sqrt{s} =$ 13 TeV with the ATLAS detector,Phys. Lett. B 822 (2021) 136651,10.1016/j.physletb.2021.136651,2021
2211.04172,Search for boosted diphoton resonances in the 10 to 70 GeV mass range using 138 fb$^{-1}$ of 13 TeV $pp$ collisions with the ATLAS detector,JHEP07(2023)155,10.1007/JHEP07(2023)155,2022
2407.07546,Search for diphoton resonances in the 66 to 110 GeV mass range using $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,JHEP 01 (2025) 053,10.1007/JHEP01(2025)053,2024
1112.2194,Search for extra dimensions using diphoton events in 7 TeV proton-proton collisions with the ATLAS detector,Phys. Lett. B710 (2012) 538-556,10.1016/j.physletb.2012.03.022,2011
1210.8389,Search for Extra Dimensions in diphoton events using proton-proton collisions recorded at sqrt(s) = 7 TeV with the ATLAS detector at the LHC,New J. Phys. 15 (2013) 043007,10.1088/1367-2630/15/4/043007,2012
1808.10515,Search for pairs of highly collimated photon-jets in $pp$ collisions at $\sqrt{s}$ = 13 TeV with the ATLAS detector,"Phys. Rev. D 99, 012008 (2019)",10.1103/PhysRevD.99.012008,2018
2304.10953,Search for an axion-like particle with forward proton scattering in association with photon pairs at ATLAS,JHEP 07 (2023) 234,10.1007/JHEP07(2023)234,2023
1509.05051,Search for new phenomena in events with at least three photons collected in $pp$ collisions at $\sqrt{s}$ = 8 TeV with the ATLAS detector,"Eur. Phys. J. C 76(4) , 1-26 (2016)",10.1140/epjc/s10052-016-4034-8,2015
2312.01942,Search for the decay of the Higgs boson to a $Z$ boson and a light pseudoscalar particle decaying to two photons,Phys. Lett. B 848 (2024) 138536,10.1016/j.physletb.2024.138536,2023
1107.5003,Search for neutral MSSM Higgs bosons decaying to tau^+ tau^- pairs in proton-proton collisions at sqrt(s) = 7 TeV with the ATLAS detector,Phys.Lett.B 705 (2011) 174-192,10.1016/j.physletb.2011.10.001,2011
1210.6604,A search for high-mass resonances decaying to tau+tau- in pp collisions at sqrt(s) = 7 TeV with the ATLAS detector,Phys. Lett. B 719 (2013) 242-260,10.1016/j.physletb.2013.01.040,2012
1211.6956,Search for the neutral Higgs bosons of the Minimal Supersymmetric Standard Model in pp collisions at sqrt(s)=7 TeV with the ATLAS detector,JHEP02 (2013) 095,10.1007/JHEP02(2013)095,2012
1409.6064,Search for neutral Higgs bosons of the minimal supersymmetric standard model in pp collisions at $\sqrt{s}$ = 8 TeV with the ATLAS detector,JHEP11(2014)056,10.1007/JHEP11(2014)056,2014
1502.07177,A search for high-mass resonances decaying to $τ^{+}τ^{-}$ in $pp$ collisions at $\sqrt{s}=8$ TeV with the ATLAS detector,JHEP07(2015)157,10.1007/JHEP07(2015)157,2015
1608.00890,Search for Minimal Supersymmetric Standard Model Higgs bosons $H/A$ and for a $Z^{\prime}$ boson in the $ττ$ final state produced in $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS Detector,Eur. Phys. J. C76 (2016) 585,10.1140/epjc/s10052-016-4400-6,2016
1709.07242,Search for additional heavy neutral Higgs and gauge bosons in the ditau final state produced in 36 fb$^{-1}$ of $pp$ collisions at $\sqrt{s}$ = 13 TeV with the ATLAS detector,JHEP 01 (2018) 055,10.1007/JHEP01(2018)055,2017
2002.12223,Search for heavy Higgs bosons decaying into two tau leptons with the ATLAS detector using $pp$ collisions at $\sqrt{s}=13$ TeV,Phys. Rev. Lett. 125 (2020) 051801,10.1103/PhysRevLett.125.051801,2020
2409.20381,Search for a light CP-odd Higgs boson decaying into a pair of $τ$-leptons in proton-proton collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector,JHEP 12 (2024) 126,10.1007/JHEP12(2024)126,2024
2607.28484,Search for Lorentz-boosted di-$τ$ resonances produced in association with top quark pairs in $\sqrt{s}=13$ TeV pp collisions with the ATLAS detector,,,2026
1103.6218,Search for high mass dilepton resonances in pp collisions at sqrt{s}=7 TeV with the ATLAS experiment,Phys.Lett.B 700 (2011) 163-180,10.1016/j.physletb.2011.04.044,2011
1108.1582,Search for dilepton resonances in pp collisions at sqrt(s) = 7 TeV with the ATLAS detector,Phys.Rev.Lett. 107 (2011) 272002,10.1103/PhysRevLett.107.272002,2011
1209.2535,Search for high-mass resonances decaying to dilepton final states in pp collisions at a center-of-mass energy of 7 TeV with the ATLAS detector,JHEP 1211 (2012) 138,10.1007/JHEP11(2012)138,2012
1405.4123,Search for high-mass dilepton resonances in pp collisions at sqrt(s) = 8 TeV with the ATLAS detector,"Phys. Rev. D. 90, 052005 (2014)",10.1103/PhysRevD.90.052005,2014
1607.03669,Search for high-mass new phenomena in the dilepton final state using proton-proton collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,Phys. Lett. B 761 (2016) 372-392,10.1016/j.physletb.2016.08.055,2016
1707.02424,Search for new high-mass phenomena in the dilepton final state using 36 fb$^{-1}$ of proton-proton collision data at $\sqrt{s}$ = 13 TeV with the ATLAS detector,JHEP 10 (2017) 182,10.1007/JHEP10(2017)182,2017
1903.06248,Search for high-mass dilepton resonances using 139 fb$^{-1}$ of $pp$ collision data collected at $\sqrt{s}=$13 TeV with the ATLAS detector,Phys. Lett. B 796 (2019) 68,10.1016/j.physletb.2019.07.016,2019
2105.13847,Search for new phenomena in final states with two leptons and one or no $b$-tagged jets at $\sqrt{s} = 13$ TeV using the ATLAS detector,"Phys. Rev. Lett. 127, 141801 (2021)",10.1103/PhysRevLett.127.141801,2021
2607.28334,Search for high-mass dilepton resonances in $pp$ collisions at $\sqrt{s}=13.6$ TeV combined with 13 TeV results using the ATLAS detector,,,2026
1103.5559,Search for a heavy particle decaying into an electron and a muon with the ATLAS detector in sqrt(s) = 7 TeV pp collisions at the LHC,Phys.Rev.Lett. 106 (2011) 251801,10.1103/PhysRevLett.106.251801,2011
1109.3089,Search for a heavy neutral particle decaying into an electron and a muon using 1 fb^-1 of ATLAS data,Eur.Phys.J.C 71 (2011) 1809,10.1140/epjc/s10052-011-1809-9,2011
1205.0725,Search for lepton flavour violation in the emu continuum with the ATLAS detector in sqrt(s) = 7 TeV pp collisions at the LHC,Eur.Phys.J. C72 (2012) 2040,10.1140/epjc/s10052-012-2040-z,2012
1212.1272,"Search for a heavy narrow resonance decaying to e mu, e tau, or mu tau with the ATLAS detector in sqrt(s) = 7 TeV pp collisions at the LHC",Phys.Lett. B723 (2013) 15-32,10.1016/j.physletb.2013.04.035,2012
1503.04430,"Search for a Heavy Neutral Particle Decaying to $eμ$, $eτ$, or $μτ$ in $pp$ Collisions at $\sqrt{s}=8$ TeV with the ATLAS Detector","Phys. Rev. Lett. 115, 031801 (2015)",10.1103/PhysRevLett.115.031801,2015
1607.08079,Search for new phenomena in different-flavour high-mass dilepton final states in $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,Eur. Phys. J. C76 (2016) 541,10.1140/epjc/s10052-016-4385-1,2016
1807.06573,"Search for lepton-flavor violation in different-flavor, high-mass final states in $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector","Phys. Rev. D 98, 092008 (2018)",10.1103/PhysRevD.98.092008,2018
2307.08567,Search for lepton-flavour violation in high-mass dilepton final states using 139 $\mathrm{fb}^{-1}$ of $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,"J. High Energ. Phys. 2023, 82 (2023)",10.1007/JHEP10(2023)082,2023
1505.07645,Search for new light gauge bosons in Higgs boson decays to four-lepton final states in $pp$ collisions at $\sqrt{s}=8$ TeV with the ATLAS detector at the LHC,"Phys. Rev. D 92, 092001 (2015)",10.1103/PhysRevD.92.092001,2015
1802.03388,Search for Higgs boson decays to beyond-the-Standard-Model light bosons in four-lepton events with the ATLAS detector at $\sqrt{s}=13$ TeV,JHEP 06 (2018) 166,10.1007/JHEP06(2018)166,2018
2110.13673,Search for Higgs bosons decaying into new spin-0 or spin-1 particles in four-lepton final states with the ATLAS detector with 139 fb$^{-1}$ of $pp$ collision data at $\sqrt{s}=13$ TeV,JHEP 03 (2022) 041,10.1007/JHEP03(2022)041,2021
2301.09342,Search for a new Z' gauge boson in $4μ$ events with the ATLAS experiment,JHEP 07 (2023) 90,10.1007/JHEP07(2023)090,2023
2401.04742,Search for heavy resonances in final states with four leptons and missing transverse momentum or jets in $pp$ collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector,JHEP 10 (2024) 130,10.1007/JHEP10(2024)130,2024
2402.15212,Search for a new $Z'$ gauge boson via the $pp \rightarrow W^{\pm(*)} \rightarrow Z' μ^{\pm} ν\rightarrow μ^{\pm}μ^{\mp}μ^{\pm}ν$ process in $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,Phys. Rev. D 110 (2024) 072008,10.1103/PhysRevD.110.072008,2024
1103.1391,Search for high-mass states with one lepton plus missing transverse momentum in proton-proton collisions at sqrt(s) = 7 TeV with the ATLAS detector,"Phys.Lett.B701:50-69,2011",10.1016/j.physletb.2011.05.043,2011
1108.1316,Search for a heavy gauge boson decaying to a charged lepton and a neutrino in 1 fb-1 of pp collisions at sqrt(s) = 7 TeV using the ATLAS detector,Phys.Lett.B 705 (2011) 28-46,10.1016/j.physletb.2011.09.093,2011
1407.7494,Search for new particles in events with one lepton and missing transverse momentum in $pp$ collisions at $\sqrt{s}$ = 8 TeV with the ATLAS detector,JHEP09 (2014) 037,10.1007/JHEP09(2014)037,2014
1606.03977,Search for new resonances in events with one lepton and missing transverse momentum in $pp$ collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector,Phys. Lett. B 762 (2016) 334,10.1016/j.physletb.2016.09.040,2016
1706.04786,Search for a new heavy gauge boson resonance decaying into a lepton and missing transverse momentum in 36 fb$^{-1}$ of $pp$ collisions at $\sqrt{s} =$ 13 TeV with the ATLAS experiment,Eur. Phys. J. C 78 (2018) 401,10.1140/epjc/s10052-018-5877-y,2017
1906.05609,Search for a heavy charged boson in events with a charged lepton and missing transverse momentum from $pp$ collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector,"Phys. Rev. D 100, 052013 (2019)",10.1103/PhysRevD.100.052013,2019
1408.5774,Search for the lepton flavor violating decay $Z \rightarrow e μ$ in pp collisions at $\sqrt{s}$ = 8 TeV with the ATLAS detector,"Phys. Rev. D 90, 072010 (2014)",10.1103/PhysRevD.90.072010,2014
1804.09568,Search for lepton-flavor-violating decays of the $Z$ boson into a $τ$ lepton and a light lepton with the ATLAS detector,"Phys. Rev. D 98, 092010 (2018)",10.1103/PhysRevD.98.092010,2018
2010.02566,Search for charged-lepton-flavour violation in $Z$-boson decays with the ATLAS detector,Nature Phys. 17(2021) 819,10.1038/s41567-021-01225-z,2020
2105.12491,Search for lepton-flavor-violation in $Z$-boson decays with $τ$-leptons with the ATLAS detector,Phys. Rev. Lett. 127 (2021) 271801,10.1103/PhysRevLett.127.271801,2021
2204.10783,Search for the charged-lepton-flavor-violating decay $Z\rightarrow eμ$ in $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,Phys. Rev. D 108 (2023) 032015,10.1103/PhysRevD.108.032015,2022
1901.08144,Search for scalar resonances decaying into $μ^{+}μ^{-}$ in events with and without $b$-tagged jets produced in proton-proton collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,JHEP 07 (2019) 117,10.1007/JHEP07(2019)117,2019
2304.14247,Search for a new pseudoscalar decaying into a pair of muons in events with a top-quark pair at $\sqrt{s} = 13$ TeV with the ATLAS detector,Phys. Rev. D 108 (2023) 092007,10.1103/PhysRevD.108.092007,2023
2601.21361,Search for dimuon resonance in the 35 to 75 GeV mass range using 140 fb$^{-1}$ of 13 TeV $pp$ collisions with the ATLAS detector,JHEP 06 (2026) 165,10.1007/JHEP06(2026)165,2026
