arxiv,title,authors,journal,doi,year
1208.5811,Search for spin-3/2 quarks at the Large Hadron Collider,Duane A. Dicus; Durmus Karabacak; S. Nandi; Santosh Kumar Rai,,10.1103/PhysRevD.87.015023,2012
1110.1565,Effect of spin-3/2 top quark excitation on ttbar production at the LHC,W. J. Stirling; E. Vryonidou,,10.1007/JHEP01(2012)055,2011
hep-ph/0401066,Production of Excited Neutrino at LHC,A. Belyaev; C. Leroy; R. Mehdiyev,"Eur.Phys.J.C41S2:1-10,2005",10.1140/epjcd/s2005-02-006-0,2004
2606.24486,Reinterpretation of ATLAS and CMS searches in monojet and mono-$V$ final states: prospects of limits on excited neutrinos,Gabriela Karkosova Martinovicova; Vojtech Pleskot,,,2026
1510.07988,Hunting for heavy composite Majorana neutrinos at the LHC,R. Leonardi; L. Alunni; F. Romeo; L. Fanò; O. Panella,"Eur. Phys. J. C76 (2016) no.11, 593",10.1140/epjc/s10052-016-4396-y,2015
1211.6394,Probing Color Octet Electrons at the LHC,Tanumoy Mandal; Subhadip Mitra,"Phys. Rev. D 87, 095008 (2013)",10.1103/PhysRevD.87.095008,2012
2212.06178,Resonant Lepton-Gluon Collisions at the Large Hadron Collider,Eduardo da Silva Almeida; Alexandre Alves; Oscar J. P. Éboli; F. S. Queiroz,,,2022
1102.0018,Searching for Top Flavor Violating Resonances,Moira I. Gresham; Ian-Woo Kim; Kathryn M. Zurek,,10.1103/PhysRevD.84.034025,2011
0907.4112,Top quark forward-backward asymmetry from new t-channel physics,Sunghoon Jung; Hitoshi Murayama; Aaron Pierce; James D. Wells,"Phys.Rev.D81:015004,2010",10.1103/PhysRevD.81.015004,2009
hep-ph/0606172,"Flavor Changing Neutral Currents, an Extended Scalar Sector, and the Higgs Production Rate at the LHC",Aneesh V. Manohar; Mark B. Wise,"Phys.Rev.D74:035009,2006",10.1103/PhysRevD.74.035009,2006
0710.3133,Color-octet scalars at the LHC,Michael Gerbush; Teng Jian Khoo; Daniel Phalen; Aaron Pierce; David Tucker-Smith,"Phys.Rev.D77:095003,2008",10.1103/PhysRevD.77.095003,2007
1809.01158,Third Family Hypercharge Model for $R_{K^{(\ast)}}$ and Aspects of the Fermion Mass Problem,B. C. Allanach; Joe Davighi,,10.1007/JHEP12(2018)075,2018
1403.1269,Dressing L_mu - L_tau in Color,Wolfgang Altmannshofer; Stefania Gori; Maxim Pospelov; Itay Yavin,Phys.Rev. D89 (2014) 095033,10.1103/PhysRevD.89.095033,2014
1707.07016,Bottom-quark Fusion Processes at the LHC for Probing $Z^{\prime}$ Models and B-meson Decay Anomalies,Mohammad Abdullah; Mykhailo Dalchenko; Bhaskar Dutta; Ricardo Eusebi; Peisi Huang; Teruki Kamon; Denis Rathjens; Adrian Thompson,"Phys. Rev. D 97, 075035 (2018)",10.1103/PhysRevD.97.075035,2017
1111.0633,Four-Lepton Resonance at the Large Hadron Collider,Vernon Barger; Hye-Sung Lee,,10.1103/PhysRevD.85.055030,2011
1203.2947,"""Dark"" Z implications for Parity Violation, Rare Meson Decays, and Higgs Physics",Hooman Davoudiasl; Hye-Sung Lee; William J. Marciano,,10.1103/PhysRevD.85.115019,2012
1412.0018,Illuminating Dark Photons with High-Energy Colliders,David Curtin; Rouven Essig; Stefania Gori; Jessie Shelton,,10.1007/JHEP02(2015)157,2014
1612.00047,LHC Signals from Cascade Decays of Warped Vector Resonances,Kaustubh S. Agashe; Jack Collins; Peizhi Du; Sungwoo Hong; Doojin Kim; Rashmish K. Mishra,,10.1007/JHEP05(2017)078,2016
1711.09920,Dedicated Strategies for Triboson Signals from Cascade Decays of Vector Resonances,Kaustubh Agashe; Jack H. Collins; Peizhi Du; Sungwoo Hong; Doojin Kim; Rashmish K. Mishra,"Phys. Rev. D 99, 075016 (2019)",10.1103/PhysRevD.99.075016,2017
1111.1239,MFV SUSY: A Natural Theory for R-Parity Violation,Csaba Csáki; Yuval Grossman; Ben Heidenreich,"Phys. Rev. D 85, 095009 (2012)",10.1103/PhysRevD.85.095009,2011
hep-ph/0001224,Resonant Slepton Production at the LHC,Herbi Dreiner; Peter Richardson; Michael H. Seymour,,,2000
1201.5014,Bounds on R-parity Violation from Resonant Slepton Production at the LHC,H. K. Dreiner; T. Stefaniak,,10.1103/PhysRevD.86.055010,2012
1402.4491,The Zee-Babu Model revisited in the light of new data,Juan Herrero-Garcia; Miguel Nebot; Nuria Rius; Arcadi Santamaria,Nucl.Phys. B885 (2014) 542-570,10.1016/j.nuclphysb.2014.06.001,2014
2206.14833,Doubly Charged Higgs Boson Production at Hadron Colliders II: A Zee-Babu Case Study,Richard Ruiz,JHEP 10 (2022) 200,10.1007/JHEP10(2022)200,2022
