family,spectrum,observable,trigger,trigger_detail,n_papers,first_year,last_year,status,latest_mass_range,run3,arxiv,budget_axis
Jets & hadronic,"Dijet (inclusive, high mass)",m_jj,no,single-jet,8,2010,2020,ageing,1.8-8.2 TeV,no,1008.2461 1103.3864 1108.6311 1407.1376 1512.01530 1703.09127 1910.08447 2005.02983,
Jets & hadronic,Photon + jet,m_(gamma j),no,single-photon,4,2011,2017,stale,,no,1112.3580 1309.3230 1512.05910 1709.10440,m(jgamma)
Jets & hadronic,"Dijet (low mass, trigger-level)",m_jj,no,trigger-level analysis (jet),3,2018,2026,current,100-250 GeV,no,1804.03496 2509.01219 2606.03222,
Jets & hadronic,Dijet + ISR photon/jet,m_jj,no,single-photon / single-jet ISR,3,2018,2024,current,200-650 GeV,no,1801.08769 1901.10917 2403.08547,
Jets & hadronic,"Dijet, b-tagged",m_bb / m_jj(b),no,single-jet + b-jet,3,2016,2021,ageing,,no,1603.08791 1805.09299 2108.09059,
Jets & hadronic,Pair-produced dijet resonances (4 jets),m_jj (paired),no,multi-jet,3,2011,2017,stale,,no,1110.2693 1210.4826 1710.07171,m(jj)
Jets & hadronic,Three-jet / multijet (3-quark res.),m_jjj,no,multi-jet,2,2012,2018,stale,,no,1210.4813 1804.03568,m(3j)
Jets & hadronic,Z + light hadronic resonance (H decay),m_J,lepton,single/di-lepton,2,2020,2024,current,0.5-3.5 GeV,no,2004.01678 2411.16361,
Jets & hadronic,Dijet + isolated lepton,m_jj,lepton,single-lepton,1,2020,2020,ageing,0.25-6 TeV,no,2002.11325,
Jets & hadronic,Dijet from dark quarks,m_jj,no,single-jet,1,2023,2023,ageing,,no,2311.03944,
Jets & hadronic,Boosted light hadronic res. + photon,m_J,no,single-photon (ISR),1,2024,2024,current,20-100 GeV,no,2408.00049,
Photons,Diphoton (high mass),m_gamgam,no,diphoton,7,2012,2021,ageing,160-2800 GeV (spin-0),no,1202.1414 1205.0701 1407.6583 1504.05511 1606.03833 1707.04147 2102.13405,
Photons,Diphoton (low mass / boosted),m_gamgam,no,diphoton,2,2022,2024,current,,no,2211.04172 2407.07546,
Photons,"Diphoton, extra dimensions",m_gamgam,no,diphoton,2,2011,2012,stale,2.52-3.92 TeV,no,1112.2194 1210.8389,m(gammagamma)
Photons,Photon-jets (collimated gamma pairs),m_gamgam-jets,no,diphoton,1,2018,2018,stale,2-10 GeV,no,1808.10515,-
Photons,Diphoton + forward protons (ALP),m_gamgam,no,diphoton (+AFP),1,2023,2023,ageing,150-1600 GeV,no,2304.10953,
Photons,Three photons,m_3gamma,no,diphoton / triphoton,1,2015,2015,stale,,no,1509.05051,-
Photons,H -> Za -> ll gamgam,m_gamgam,lepton,single/di-lepton,1,2023,2023,ageing,0.1-33 GeV,no,2312.01942,
Leptons,Ditau,m_tautau,mixed,single-lepton (lep-had); ditau_had,10,2011,2026,current,20-85 GeV,no,1107.5003 1210.6604 1211.6956 1409.6064 1502.07177 1608.00890 1709.07242 2002.12223 2409.20381 2607.28484,
Leptons,"Dilepton (ee/mumu, high mass)",m_ll,lepton,"single/di-electron, single/di-muon",9,2011,2026,current,,yes,1103.6218 1108.1582 1209.2535 1405.4123 1607.03669 1707.02424 1903.06248 2105.13847 2607.28334,
Leptons,Lepton-flavour-violating dilepton (e-mu/e-tau/mu-tau),"m_emu, m_etau, m_mutau",mixed,"single/di-lepton (emu); +tau_had (etau, mutau)",8,2011,2023,ageing,,no,1103.5559 1109.3089 1205.0725 1212.1272 1503.04430 1607.08079 1807.06573 2307.08567,
Leptons,Four leptons / 4mu,"m_4l, m_4mu",lepton,single/di-lepton,6,2015,2024,current,5-81 GeV,no,1505.07645 1802.03388 2110.13673 2301.09342 2401.04742 2402.15212,
Leptons,Lepton + MET (W-prime),"m_T(l,nu)",lepton,single-electron / single-muon,6,2011,2019,ageing,0.15-7.0 TeV,no,1103.1391 1108.1316 1407.7494 1606.03977 1706.04786 1906.05609,
Leptons,LFV Z decays,m_ll (Z),lepton,single/di-lepton,5,2014,2022,ageing,,no,1408.5774 1804.09568 2010.02566 2105.12491 2204.10783,
Leptons,Dimuon (low / intermediate mass),m_mumu,lepton,single/di-muon,3,2019,2026,current,35-75 GeV,no,1901.08144 2304.14247 2601.21361,
Leptons,SFOS dilepton + MET (edge),m_ll,lepton,di-lepton (+MET trigger in some regions),3,2015,2018,stale,,no,1503.03290 1611.05791 1805.11381,m(ee); m(mumu)
Leptons,Same-sign dimuon (strong gravity),m_mumu (SS),lepton,single/di-muon,2,2011,2013,stale,,no,1111.0080 1308.4075,m(mumu) SS
Leptons,Collimated / displaced lepton pairs,m_ll,lepton,di-muon (incl. small-displacement); photon for collimated ee,2,2023,2024,current,,no,2305.02005 2407.09168,
Leptons,Tau + MET,"m_T(tau,nu)",no,tau_had + MET,2,2018,2024,current,,no,1801.06992 2402.16576,
Leptons,Trilepton resonance,m_3l,lepton,single/di-lepton,1,2020,2020,ageing,100-1100 GeV,no,2011.10543,
Leptons,Periodic signals in dielectron/diphoton,"m_ee, m_gamgam",mixed,single/di-electron (ee); diphoton (gamgam),1,2023,2023,ageing,,no,2305.10894,
Leptons,LFV tau -> 3 mu,m_3mu,lepton,single/di-muon,1,2026,2026,current,,no,2603.18099,
Diboson,"ZZ/ZW -> llqq, vvqq, 4l","m_ZZ, m_ZW",mixed,"single/di-lepton (llqq, 4l); MET (vvqq)",6,2011,2020,ageing,,no,1108.5064 1203.0718 1409.6190 1708.09638 1712.06386 2009.14791,
Diboson,WZ/WW fully leptonic,"m_WZ, m_WW",lepton,single/di-lepton,4,2012,2022,ageing,,no,1204.1648 1406.4456 1806.01532 2207.03925,
Diboson,WW/WZ semileptonic (lvqq),m_VV,lepton,single-lepton,4,2013,2020,ageing,300-5000 GeV,no,1305.0125 1503.04677 1710.07235 2004.14636,
Diboson,Heavy Higgs -> ZZ / WW,"m_ZZ, m_WW",mixed,"single/di-lepton (4l, llvv, llqq, emu, lvqq); MET (vvqq)",4,2012,2015,stale,,no,1205.6744 1206.2443 1507.05930 1509.00389,m(VV)
