q,EK_null,P_reject_null,E_false_conf,P_false_conf,P_sel_mu3,P_sel_mu4,P_sel_mu5,P_sel_mu6,power_mu3,power_mu4,power_mu5,power_mu6
0.0010,0.0009,0.0009,1.210e-06,1.210e-06,0.0081,0.0806,0.3442,0.7249,0.0041,0.0678,0.3364,0.7239
0.0011,0.0010,0.0010,1.368e-06,1.368e-06,0.0086,0.0837,0.3514,0.7316,0.0043,0.0704,0.3434,0.7306
0.0013,0.0011,0.0011,1.534e-06,1.534e-06,0.0091,0.0868,0.3594,0.7383,0.0046,0.0731,0.3512,0.7373
0.0014,0.0013,0.0013,1.759e-06,1.759e-06,0.0097,0.0902,0.3671,0.7450,0.0048,0.0759,0.3587,0.7440
0.0016,0.0015,0.0015,2.002e-06,2.002e-06,0.0103,0.0934,0.3747,0.7515,0.0052,0.0786,0.3662,0.7505
0.0018,0.0017,0.0017,2.290e-06,2.290e-06,0.0108,0.0969,0.3828,0.7581,0.0054,0.0815,0.3741,0.7570
0.0020,0.0019,0.0019,2.605e-06,2.605e-06,0.0114,0.1005,0.3909,0.7647,0.0057,0.0845,0.3820,0.7636
0.0022,0.0022,0.0021,2.902e-06,2.902e-06,0.0121,0.1043,0.3988,0.7711,0.0060,0.0877,0.3898,0.7700
0.0025,0.0024,0.0024,3.280e-06,3.280e-06,0.0127,0.1082,0.4067,0.7776,0.0063,0.0911,0.3974,0.7765
0.0028,0.0027,0.0027,3.694e-06,3.694e-06,0.0134,0.1125,0.4145,0.7839,0.0067,0.0946,0.4051,0.7829
0.0031,0.0031,0.0031,4.171e-06,4.171e-06,0.0141,0.1165,0.4227,0.7902,0.0071,0.0980,0.4131,0.7891
0.0035,0.0034,0.0034,4.644e-06,4.644e-06,0.0149,0.1206,0.4308,0.7962,0.0074,0.1015,0.4210,0.7951
0.0039,0.0038,0.0038,5.184e-06,5.184e-06,0.0157,0.1253,0.4393,0.8022,0.0078,0.1054,0.4293,0.8011
0.0044,0.0043,0.0043,5.868e-06,5.867e-06,0.0165,0.1298,0.4477,0.8081,0.0083,0.1092,0.4375,0.8070
0.0049,0.0049,0.0049,6.650e-06,6.650e-06,0.0174,0.1343,0.4562,0.8139,0.0087,0.1130,0.4459,0.8128
0.0055,0.0056,0.0055,7.492e-06,7.492e-06,0.0185,0.1393,0.4648,0.8196,0.0092,0.1172,0.4543,0.8185
0.0061,0.0062,0.0061,8.351e-06,8.351e-06,0.0197,0.1440,0.4738,0.8251,0.0098,0.1211,0.4631,0.8240
0.0069,0.0070,0.0069,9.454e-06,9.454e-06,0.0208,0.1490,0.4825,0.8307,0.0104,0.1254,0.4715,0.8296
0.0077,0.0078,0.0077,1.058e-05,1.058e-05,0.0220,0.1543,0.4911,0.8364,0.0110,0.1298,0.4799,0.8352
0.0086,0.0086,0.0084,1.160e-05,1.160e-05,0.0232,0.1597,0.4998,0.8417,0.0116,0.1343,0.4884,0.8406
0.0096,0.0096,0.0094,1.301e-05,1.301e-05,0.0244,0.1652,0.5087,0.8470,0.0122,0.1390,0.4971,0.8458
0.0108,0.0108,0.0106,1.457e-05,1.456e-05,0.0256,0.1709,0.5176,0.8519,0.0128,0.1438,0.5058,0.8508
0.0121,0.0122,0.0119,1.646e-05,1.646e-05,0.0271,0.1765,0.5265,0.8571,0.0135,0.1485,0.5145,0.8559
0.0135,0.0138,0.0134,1.857e-05,1.856e-05,0.0284,0.1826,0.5355,0.8623,0.0142,0.1536,0.5233,0.8611
0.0152,0.0154,0.0150,2.083e-05,2.083e-05,0.0301,0.1884,0.5443,0.8674,0.0150,0.1585,0.5320,0.8662
0.0170,0.0175,0.0169,2.357e-05,2.357e-05,0.0317,0.1946,0.5530,0.8724,0.0159,0.1637,0.5405,0.8712
0.0190,0.0197,0.0190,2.658e-05,2.658e-05,0.0335,0.2011,0.5623,0.8771,0.0167,0.1692,0.5495,0.8759
0.0213,0.0223,0.0214,3.010e-05,3.010e-05,0.0352,0.2076,0.5712,0.8818,0.0176,0.1746,0.5582,0.8806
0.0239,0.0252,0.0241,3.406e-05,3.406e-05,0.0369,0.2145,0.5802,0.8864,0.0185,0.1804,0.5670,0.8852
0.0267,0.0286,0.0271,3.855e-05,3.855e-05,0.0390,0.2214,0.5894,0.8909,0.0195,0.1863,0.5760,0.8897
0.0299,0.0321,0.0302,4.334e-05,4.333e-05,0.0409,0.2286,0.5989,0.8949,0.0204,0.1924,0.5853,0.8937
0.0335,0.0361,0.0337,4.879e-05,4.879e-05,0.0430,0.2360,0.6084,0.8993,0.0215,0.1986,0.5945,0.8981
0.0375,0.0408,0.0377,5.511e-05,5.510e-05,0.0453,0.2436,0.6177,0.9035,0.0227,0.2049,0.6037,0.9023
0.0420,0.0464,0.0425,6.268e-05,6.267e-05,0.0477,0.2514,0.6272,0.9078,0.0238,0.2115,0.6129,0.9066
0.0471,0.0525,0.0476,7.094e-05,7.093e-05,0.0503,0.2594,0.6366,0.9120,0.0251,0.2182,0.6221,0.9108
0.0500,0.0561,0.0505,7.571e-05,7.570e-05,0.0518,0.2638,0.6415,0.9142,0.0259,0.2219,0.6269,0.9129
0.0527,0.0595,0.0531,8.029e-05,8.028e-05,0.0530,0.2676,0.6459,0.9160,0.0265,0.2251,0.6312,0.9147
0.0591,0.0672,0.0593,9.069e-05,9.067e-05,0.0560,0.2760,0.6551,0.9199,0.0280,0.2322,0.6402,0.9187
