category,group,charge_split,r,M_lo_GeV,M_hi_GeV,M_hi_fittable_GeV,n_s
e0m0j0b1Z1_0met,bZ,1,0.072,131,5000,1063,29.0
e0m0j0b1Z1_1met,bZ,1,0.072,131,5000,131,0.0
e0m0j0b2Z1_0met,bb,1,0.100,100,5000,100,0.0
e0m0j0b2Z1_0met,bZ,1,0.072,131,5000,131,0.0
e0m0j0b2Z1_0met,bZ,1,0.072,131,5000,131,0.0
e0m0j0b2Z1_0met,bbZ,1,0.082,171,4000,171,0.0
e0m0j0b2Z1_1met,bb,1,0.100,100,5000,100,0.0
e0m0j0b2Z1_1met,bZ,1,0.072,131,5000,131,0.0
e0m0j0b2Z1_1met,bZ,1,0.072,131,5000,131,0.0
e0m0j0b2Z1_1met,bbZ,1,0.082,171,4000,171,0.0
e0m0j0b3Z1_0met,bb,1,0.100,100,5000,100,0.0
e0m0j0b3Z1_0met,bb,1,0.100,100,5000,100,0.0
e0m0j0b3Z1_0met,bZ,1,0.072,131,5000,131,0.0
e0m0j0b3Z1_0met,bb,1,0.100,100,5000,100,0.0
e0m0j0b3Z1_0met,bZ,1,0.072,131,5000,131,0.0
e0m0j0b3Z1_0met,bZ,1,0.072,131,5000,131,0.0
e0m0j0b3Z1_0met,bbb,1,0.100,150,4000,150,0.0
e0m0j0b3Z1_0met,bbZ,1,0.082,171,4000,171,0.0
e0m0j0b3Z1_0met,bbZ,1,0.082,171,4000,171,0.0
e0m0j0b3Z1_0met,bbZ,1,0.082,171,4000,171,0.0
e0m0j0b3Z1_0met,bbbZ,1,0.087,211,3000,211,0.0
e0m0j0b3Z1_1met,bb,1,0.100,100,5000,100,0.0
e0m0j0b3Z1_1met,bb,1,0.100,100,5000,100,0.0
e0m0j0b3Z1_1met,bZ,1,0.072,131,5000,131,0.0
e0m0j0b3Z1_1met,bb,1,0.100,100,5000,100,0.0
e0m0j0b3Z1_1met,bZ,1,0.072,131,5000,131,0.0
e0m0j0b3Z1_1met,bZ,1,0.072,131,5000,131,0.0
e0m0j0b3Z1_1met,bbb,1,0.100,150,4000,150,0.0
e0m0j0b3Z1_1met,bbZ,1,0.082,171,4000,171,0.0
e0m0j0b3Z1_1met,bbZ,1,0.082,171,4000,171,0.0
e0m0j0b3Z1_1met,bbZ,1,0.082,171,4000,171,0.0
e0m0j0b3Z1_1met,bbbZ,1,0.087,211,3000,211,0.0
e0m0j1b0Z1_0met,jZ,1,0.038,131,5000,1403,62.2
e0m0j1b0Z1_1met,jZ,1,0.038,131,5000,533,36.8
e0m0j1b1Z1_0met,jb,1,0.079,100,5000,1079,30.1
e0m0j1b1Z1_0met,jZ,1,0.038,131,5000,956,52.1
e0m0j1b1Z1_0met,bZ,1,0.072,131,5000,1063,29.0
e0m0j1b1Z1_0met,jbZ,1,0.066,171,4000,1046,27.6
e0m0j1b1Z1_1met,jb,1,0.079,100,5000,100,0.0
e0m0j1b1Z1_1met,jZ,1,0.038,131,5000,363,26.7
e0m0j1b1Z1_1met,bZ,1,0.072,131,5000,131,0.0
e0m0j1b1Z1_1met,jbZ,1,0.066,171,4000,171,0.0
e0m0j1b2Z1_0met,jb,1,0.079,100,5000,735,25.2
e0m0j1b2Z1_0met,jb,1,0.079,100,5000,735,25.2
e0m0j1b2Z1_0met,jZ,1,0.038,131,5000,651,42.1
e0m0j1b2Z1_0met,bb,1,0.100,100,5000,100,0.0
e0m0j1b2Z1_0met,bZ,1,0.072,131,5000,131,0.0
e0m0j1b2Z1_0met,bZ,1,0.072,131,5000,131,0.0
e0m0j1b2Z1_0met,jbb,1,0.087,150,4000,150,0.0
e0m0j1b2Z1_0met,jbZ,1,0.066,171,4000,171,0.0
e0m0j1b2Z1_0met,jbZ,1,0.066,171,4000,171,0.0
e0m0j1b2Z1_0met,bbZ,1,0.082,171,4000,171,0.0
e0m0j1b2Z1_0met,jbbZ,1,0.076,211,3000,211,0.0
e0m0j1b2Z1_1met,jb,1,0.079,100,5000,100,0.0
e0m0j1b2Z1_1met,jb,1,0.079,100,5000,100,0.0
e0m0j1b2Z1_1met,jZ,1,0.038,131,5000,131,0.0
e0m0j1b2Z1_1met,bb,1,0.100,100,5000,100,0.0
e0m0j1b2Z1_1met,bZ,1,0.072,131,5000,131,0.0
e0m0j1b2Z1_1met,bZ,1,0.072,131,5000,131,0.0
e0m0j1b2Z1_1met,jbb,1,0.087,150,4000,150,0.0
e0m0j1b2Z1_1met,jbZ,1,0.066,171,4000,171,0.0
e0m0j1b2Z1_1met,jbZ,1,0.066,171,4000,171,0.0
e0m0j1b2Z1_1met,bbZ,1,0.082,171,4000,171,0.0
e0m0j1b2Z1_1met,jbbZ,1,0.076,211,3000,211,0.0
e0m0j2b0Z1_0met,jj,1,0.050,100,5000,1468,53.7
e0m0j2b0Z1_0met,jZ,1,0.038,131,5000,1403,62.2
e0m0j2b0Z1_0met,jZ,1,0.038,131,5000,1403,62.2
e0m0j2b0Z1_0met,jjZ,1,0.042,171,4000,1428,50.0
e0m0j2b0Z1_1met,jj,1,0.050,100,5000,557,34.4
e0m0j2b0Z1_1met,jZ,1,0.038,131,5000,533,36.8
