observable,ns_scan,n_model_classes,model_classes,n_selections,ns_x_selections,selections,published_search,in_combinatorial_scan
m(gammagamma),401.7,6,ALP; KK graviton (Gstar); Large ED / UED / HEIDI; N2HDM / 2HDM+S (h->aa); Randall-Sundrum / Radion; Vector-like confinement,2,803.5,spin-0 (ggF) + spin-2/VBF (converted/unconverted categories),yes,yes
m(mumu) (Zd),359.8,3,Dark Z (mass mixing); Hidden Abelian Higgs (HAHM); N2HDM / 2HDM+S (h->aa),1,359.8,prompt muon LJ / 4mu scan,yes,yes
m(ee),265.1,7,KK graviton (Gstar); Large ED / UED / HEIDI; Leptophilic gauge boson; LRSM / Alt-LRSM; Minimal Z' / U(1); SILH / Little Higgs; Technicolor / TC2,1,265.1,"single dielectron scan (barrel/endcap are fit categories, combined)",yes,yes
m(ee) (Zd),239.7,2,Dark Z (mass mixing); Hidden Abelian Higgs (HAHM),1,239.7,prompt e-LJ / 4e scan,yes,yes
m(egamma),214.6,1,Excited lepton (l*),1,214.6,excited electron e*,yes,yes
m(emu) LFV,146.1,4,Minimal Z' / U(1); Quantum black hole; Scalar leptoquark (S1); Vector leptoquark (U1),1,146.1,LFV e-mu,yes,yes
m(ee) SS,124.8,3,Georgi-Machacek; Type-II seesaw; Zee-Babu,1,124.8,H++ same-sign ee,yes,yes
m(Vgamma),110.2,3,ALP; Excited boson (W*/Z*); Singlet scalar / SM+Scalars,2,220.4,X->Zgamma: Z->ll and boosted Z->qq (+Wgamma),yes,yes
m(ej),107.3,4,Leptogluon (color-octet l); Leptoquark NLO (mix/nomix); Quantum black hole; Scalar leptoquark (S1),4,429.2,LQ pair -> eq: all four lepton-jet pairings scanned (2006.05872),yes,yes
m(mugamma),107.3,1,Excited lepton (l*),1,107.3,excited muon mu*,yes,yes
m(muj),80.5,4,Leptogluon (color-octet l); Leptoquark NLO (mix/nomix); Quantum black hole; Scalar leptoquark (S1),4,321.9,LQ pair -> muq: all four lepton-jet pairings scanned (2006.05872),yes,yes
m(eZ),79.9,4,Excited lepton (l*); RPV electroweakino (trilepton); Type-III seesaw; Vector-like lepton (VLL),1,79.9,trilepton e+Z resonance,yes,yes
