mass_group,category,histograms,n_s,budget_axes,model_classes
jjm,e0m2T0g0j2b0t0V0H0Z0,2,97.9,m(mujj),Composite Majorana N; Excited lepton (l*); Excited neutrino (nu*); Heavy neutrino / HNL (prompt); LRSM / Alt-LRSM; RPV resonant slepton
jjm,e0m2T0g0j2b0t0V0H0Z0,2,97.9,m(mujj),Composite Majorana N; Excited lepton (l*); Excited neutrino (nu*); Heavy neutrino / HNL (prompt); LRSM / Alt-LRSM; RPV resonant slepton
eee,e3m0T0g0j0b0t0V0H0Z0,1,85.2,multilepton,Heavy neutrino / HNL (prompt); Leptophobic Z' (dark cascade); Type-III seesaw; Vector-like lepton (VLL)
gjj,e0m0T0g1j2b0t0V0H0Z0,1,79.6,m(gammajj),Technicolor / TC2; Warped KK cascade
jj,e0m0T0g0j4b0t0V0H0Z0,1,78.2,m(tt)/m(jj),Coloron / Axigluon; Stop/scharm (RPV)
jj,e0m0T0g0j4b0t0V0H0Z0,1,78.2,m(tt)/m(jj),Coloron / Axigluon; Stop/scharm (RPV)
jj,e0m0T0g0j4b0t0V0H0Z0,1,78.2,m(tt)/m(jj),Coloron / Axigluon; Stop/scharm (RPV)
jj,e0m0T0g0j4b0t0V0H0Z0,1,78.2,m(tt)/m(jj),Coloron / Axigluon; Stop/scharm (RPV)
jj,e0m0T0g0j4b0t0V0H0Z0,1,78.2,m(tt)/m(jj),Coloron / Axigluon; Stop/scharm (RPV)
jj,e0m0T0g0j4b0t0V0H0Z0,1,78.2,m(tt)/m(jj),Coloron / Axigluon; Stop/scharm (RPV)
jj,e0m0T0g0j2b0t2V0H0Z0,1,69.7,m(tt)/m(jj),Coloron / Axigluon; Stop/scharm (RPV)
Vj,e0m0T0g0j1b0t0V1H0Z0,1,65.9,m(jV),Excited quark (q*/b*); Vector-like quark (VLQ)
jjm,e0m1T0g0j2b0t0V0H0Z0,1,65.7,m(mujj),Composite Majorana N; Excited lepton (l*); Excited neutrino (nu*); Heavy neutrino / HNL (prompt); LRSM / Alt-LRSM; RPV resonant slepton
be,e2m0T0g0j0b2t0V0H0Z0,2,60.0,m(eb),Leptoquark NLO (mix/nomix); Scalar leptoquark (S1); Stop/scharm (RPV)
be,e2m0T0g0j0b2t0V0H0Z0,2,60.0,m(eb),Leptoquark NLO (mix/nomix); Scalar leptoquark (S1); Stop/scharm (RPV)
be,e2m0T0g0j0b2t0V0H0Z0,2,60.0,m(eb),Leptoquark NLO (mix/nomix); Scalar leptoquark (S1); Stop/scharm (RPV)
be,e2m0T0g0j0b2t0V0H0Z0,2,60.0,m(eb),Leptoquark NLO (mix/nomix); Scalar leptoquark (S1); Stop/scharm (RPV)
bm,e0m2T0g0j0b2t0V0H0Z0,2,54.7,m(mub),Leptoquark NLO (mix/nomix); Scalar leptoquark (S1); Stop/scharm (RPV)
bm,e0m2T0g0j0b2t0V0H0Z0,2,54.7,m(mub),Leptoquark NLO (mix/nomix); Scalar leptoquark (S1); Stop/scharm (RPV)
bm,e0m2T0g0j0b2t0V0H0Z0,2,54.7,m(mub),Leptoquark NLO (mix/nomix); Scalar leptoquark (S1); Stop/scharm (RPV)
bm,e0m2T0g0j0b2t0V0H0Z0,2,54.7,m(mub),Leptoquark NLO (mix/nomix); Scalar leptoquark (S1); Stop/scharm (RPV)
Hj,e0m0T0g0j1b0t0V0H1Z0,1,51.1,m(jH),Vector-like quark (VLQ)
bg,e0m0T0g1j0b1t0V0H0Z0,1,49.9,m(bgamma),Excited quark (q*/b*)
bj,e0m0T0g0j2b2t0V0H0Z0,1,49.5,m(cb) dijet,2HDM (general/typeII/CPV)
bj,e0m0T0g0j2b2t0V0H0Z0,1,49.5,m(cb) dijet,2HDM (general/typeII/CPV)
bj,e0m0T0g0j2b2t0V0H0Z0,1,49.5,m(cb) dijet,2HDM (general/typeII/CPV)
bj,e0m0T0g0j2b2t0V0H0Z0,1,49.5,m(cb) dijet,2HDM (general/typeII/CPV)
be,e1m0T0g0j0b1t0V0H0Z0,1,48.9,m(eb),Leptoquark NLO (mix/nomix); Scalar leptoquark (S1); Stop/scharm (RPV)
He,e1m0T0g0j0b0t0V0H1Z0,1,44.7,m(eH),Type-III seesaw; Vector-like lepton (VLL)
eem,e2m1T0g0j0b0t0V0H0Z0,1,44.7,multilepton,Heavy neutrino / HNL (prompt); Leptophobic Z' (dark cascade); Type-III seesaw; Vector-like lepton (VLL)
bm,e0m1T0g0j0b1t0V0H0Z0,1,44.4,m(mub),Leptoquark NLO (mix/nomix); Scalar leptoquark (S1); Stop/scharm (RPV)
gt,e0m0T0g1j0b0t1V0H0Z0,1,43.5,m(tgamma),Excited top (t*)
et,e1m0T0g0j0b0t1V0H0Z0,1,42.3,m(et),Scalar leptoquark (S1); Vector leptoquark (U1)
Hm,e0m1T0g0j0b0t0V0H1Z0,1,39.0,m(muH),Type-III seesaw; Vector-like lepton (VLL)
mt,e0m1T0g0j0b0t1V0H0Z0,1,36.9,m(mut),Scalar leptoquark (S1); Vector leptoquark (U1)
Tg,e0m0T1g1j0b0t0V0H0Z0,1,35.4,m(taugamma),Excited lepton (l*)
bjt,e0m0T0g0j1b1t1V0H0Z0,1,34.8,m(tbj),MFV RPV gluino (tbs)
emm,e1m2T0g0j0b0t0V0H0Z0,1,34.7,multilepton,Heavy neutrino / HNL (prompt); Leptophobic Z' (dark cascade); Type-III seesaw; Vector-like lepton (VLL)
TV,e0m0T1g0j0b0t0V1H0Z0,1,31.9,m(tauV),Excited lepton (l*); Type-III seesaw; Vector-like lepton (VLL)
mmm,e0m3T0g0j0b0t0V0H0Z0,1,29.6,multilepton,Heavy neutrino / HNL (prompt); Leptophobic Z' (dark cascade); Type-III seesaw; Vector-like lepton (VLL)
tt,e0m0T0g0j2b0t2V0H0Z0,1,29.0,m(tt)/m(jj),Coloron / Axigluon; Stop/scharm (RPV)
