composition,K,tier,spectra_total,spectra_kept,looks_total,looks_kept
eg,2,motivated,254,142,77949,60456
gg,2,motivated,194,169,75893,70808
ee,2,motivated,254,102,66244,39381
Ze,2,motivated,254,77,52308,21417
Zg,2,rate,194,0,44667,0
ZZ,2,rate,194,0,32117,0
gm,2,motivated,254,142,27559,21374
em,2,motivated,254,102,26919,16003
ej,2,motivated,254,181,26919,26814
Zm,2,motivated,254,77,24283,9943
Ve,2,rate,254,0,21144,0
gj,2,motivated,194,182,21049,21049
jm,2,motivated,254,181,19873,19795
mm,2,motivated,254,102,19873,11814
Xe,2,motivated,507,211,19834,11814
Xm,2,motivated,507,211,18794,11195
Zj,2,rate,194,0,18547,0
Vm,2,rate,254,0,16743,0
Vg,2,motivated,194,148,16420,13373
Xg,2,rate,417,0,16364,0
Xj,2,rate,417,0,15458,0
jj,2,motivated,194,182,15179,15179
TX,2,motivated,507,202,15173,8619
XZ,2,rate,417,0,15115,0
He,2,rate,254,0,15055,0
VZ,2,rate,194,0,14363,0
VX,2,rate,417,0,14042,0
et,2,rate,254,0,13928,0
be,2,motivated,254,177,13897,13569
Xb,2,rate,417,0,13370,0
Hm,2,rate,254,0,12989,0
Vj,2,rate,194,0,12788,0
bm,2,motivated,254,177,12569,12272
HX,2,rate,417,0,12434,0
mt,2,rate,254,0,12016,0
Tg,2,rate,254,0,11670,0
Te,2,motivated,254,79,11620,5718
Hg,2,rate,194,0,11608,0
Xt,2,rate,417,0,11504,0
Tj,2,motivated,254,179,10810,10682
Tm,2,motivated,254,79,10810,5320
TZ,2,rate,254,0,10749,0
gt,2,rate,194,0,10739,0
VV,2,motivated,194,104,10706,5905
bg,2,rate,194,0,10680,0
HZ,2,rate,194,0,10450,0
Hj,2,rate,194,0,9921,0
Zb,2,rate,194,0,9794,0
Zt,2,motivated,194,69,9783,3480
TV,2,rate,254,0,9747,0
bj,2,motivated,194,182,9600,9600
jt,2,rate,194,0,9178,0
Tb,2,motivated,254,169,8996,8323
HV,2,motivated,194,62,8618,2754
Vb,2,motivated,194,177,8565,8344
HT,2,rate,254,0,8496,0
TT,2,motivated,254,74,8280,3782
Vt,2,motivated,194,82,8067,3410
Tt,2,rate,254,0,7860,0
bb,2,motivated,194,182,7589,7589
Hb,2,rate,194,0,7308,0
HH,2,motivated,194,23,7265,861
Ht,2,motivated,194,47,6839,1657
bt,2,motivated,194,169,6761,6308
tt,2,motivated,194,74,6477,2470
eeg,3,rate,46,0,11155,0
egg,3,rate,36,0,9931,0
ggg,3,rate,28,0,9194,0
Zee,3,rate,46,0,8612,0
Zeg,3,rate,36,0,7297,0
Zgg,3,rate,28,0,6239,0
eee,3,motivated,28,14,6129,3065
ZZe,3,rate,36,0,5628,0
Xeg,3,rate,127,0,5094,0
Xee,3,rate,127,0,5079,0
egm,3,rate,46,0,4922,0
XZe,3,rate,127,0,4853,0
Xgm,3,rate,127,0,4828,0
eej,3,rate,46,0,4817,0
Xem,3,rate,127,0,4815,0
Xej,3,rate,127,0,4815,0
ZZg,3,rate,28,0,4671,0
XZm,3,rate,127,0,4603,0
Xmm,3,rate,127,0,4589,0
Xjm,3,rate,127,0,4589,0
VXe,3,rate,127,0,4512,0
Zem,3,rate,46,0,4491,0
VXm,3,rate,127,0,4309,0
Xbe,3,rate,127,0,4170,0
HXe,3,rate,127,0,4022,0
Xbm,3,rate,127,0,4020,0
Vee,3,rate,46,0,3945,0
ggm,3,rate,36,0,3940,0
Xgg,3,rate,97,0,3903,0
TXg,3,rate,127,0,3901,0
TXe,3,rate,127,0,3894,0
HXm,3,rate,127,0,3859,0
egj,3,rate,36,0,3852,0
TXj,3,rate,127,0,3771,0
TXm,3,rate,127,0,3771,0
ZZZ,3,rate,28,0,3755,0
Xet,3,rate,127,0,3737,0
TXZ,3,rate,127,0,3728,0
XZg,3,rate,97,0,3718,0
Xgj,3,rate,97,0,3688,0
gmm,3,rate,46,0,3663,0
ejm,3,rate,46,0,3619,0
Zgm,3,rate,36,0,3587,0
Xmt,3,rate,127,0,3586,0
TVX,3,rate,127,0,3566,0
XZj,3,rate,97,0,3516,0
Zej,3,rate,36,0,3515,0
Xjj,3,rate,97,0,3505,0
VXg,3,rate,97,0,3455,0
TXb,3,rate,127,0,3436,0
Zmm,3,rate,46,0,3417,0
XZZ,3,rate,97,0,3385,0
VXj,3,rate,97,0,3291,0
TTX,3,rate,127,0,3277,0
HTX,3,rate,127,0,3244,0
Xbg,3,rate,97,0,3192,0
Vem,3,rate,46,0,3157,0
VXZ,3,rate,97,0,3149,0
ZZm,3,rate,36,0,3136,0
Veg,3,rate,36,0,3136,0
HXg,3,rate,97,0,3079,0
Xbj,3,rate,97,0,3071,0
ggj,3,rate,28,0,3065,0
XZb,3,rate,97,0,3048,0
jmm,3,rate,46,0,3021,0
TXt,3,rate,127,0,3015,0
VVX,3,rate,97,0,2956,0
HXj,3,rate,97,0,2948,0
eem,3,motivated,28,14,2932,1466
VXb,3,rate,97,0,2898,0
gjm,3,rate,36,0,2867,0
Xgt,3,rate,97,0,2861,0
Hee,3,rate,46,0,2860,0
ejj,3,rate,36,0,2832,0
HXZ,3,rate,97,0,2832,0
Zgj,3,rate,28,0,2790,0
VZe,3,rate,36,0,2772,0
Xbb,3,rate,97,0,2766,0
Xjt,3,rate,97,0,2739,0
Vmm,3,rate,46,0,2707,0
HVX,3,rate,97,0,2676,0
Zjm,3,rate,36,0,2674,0
eet,3,rate,46,0,2658,0
XZt,3,rate,97,0,2655,0
HXb,3,rate,97,0,2624,0
bee,3,rate,46,0,2559,0
VXt,3,rate,97,0,2508,0
Vgm,3,rate,36,0,2495,0
Vgg,3,rate,28,0,2479,0
Hem,3,rate,46,0,2478,0
Vej,3,rate,36,0,2471,0
HHX,3,rate,97,0,2443,0
ZZj,3,rate,28,0,2439,0
Xbt,3,rate,97,0,2439,0
jjm,3,rate,36,0,2364,0
bem,3,rate,46,0,2319,0
emt,3,rate,46,0,2303,0
HXt,3,rate,97,0,2300,0
Heg,3,rate,36,0,2259,0
VZm,3,rate,36,0,2235,0
gjj,3,rate,28,0,2230,0
Hmm,3,rate,46,0,2217,0
emm,3,motivated,28,14,2203,1101
VZg,3,rate,28,0,2189,0
Xtt,3,rate,97,0,2177,0
Teg,3,rate,46,0,2156,0
bmm,3,rate,46,0,2136,0
Vjm,3,rate,36,0,2119,0
egt,3,rate,36,0,2099,0
VVe,3,rate,36,0,2091,0
Zjj,3,rate,28,0,2080,0
mmt,3,rate,46,0,2060,0
TZe,3,rate,46,0,2048,0
HZe,3,rate,36,0,2044,0
beg,3,rate,36,0,2015,0
Tgm,3,rate,46,0,2006,0
Tej,3,rate,46,0,1999,0
VZZ,3,rate,28,0,1961,0
Hgm,3,rate,36,0,1953,0
Vgj,3,rate,28,0,1941,0
Hej,3,rate,36,0,1939,0
Zet,3,rate,36,0,1917,0
TZm,3,rate,46,0,1909,0
Zbe,3,rate,36,0,1906,0
Tjm,3,rate,46,0,1878,0
TVe,3,rate,46,0,1860,0
jjj,3,motivated,28,28,1839,1839
mmm,3,motivated,28,14,1839,919
VVm,3,rate,36,0,1829,0
bgm,3,rate,36,0,1824,0
bej,3,rate,36,0,1815,0
gmt,3,rate,36,0,1814,0
ejt,3,rate,36,0,1802,0
HZm,3,rate,36,0,1777,0
Hgg,3,rate,28,0,1774,0
TVm,3,rate,46,0,1754,0
VZj,3,rate,28,0,1738,0
Hjm,3,rate,36,0,1735,0
Zbm,3,rate,36,0,1730,0
HVe,3,rate,36,0,1695,0
Tgg,3,rate,36,0,1694,0
bjm,3,rate,36,0,1672,0
Vbe,3,rate,36,0,1671,0
Tbe,3,rate,46,0,1667,0
Zmt,3,rate,36,0,1666,0
ggt,3,rate,28,0,1648,0
Vjj,3,rate,28,0,1648,0
VVg,3,rate,28,0,1640,0
HTe,3,rate,46,0,1633,0
jmt,3,rate,36,0,1612,0
TZg,3,rate,36,0,1610,0
HZg,3,rate,28,0,1604,0
Tbm,3,rate,46,0,1595,0
Vet,3,rate,36,0,1589,0
bgg,3,rate,28,0,1577,0
Tgj,3,rate,36,0,1570,0
HTm,3,rate,46,0,1551,0
Vbm,3,rate,36,0,1549,0
TTg,3,rate,46,0,1539,0
HVm,3,rate,36,0,1533,0
Hgj,3,rate,28,0,1519,0
Tet,3,rate,46,0,1517,0
Zgt,3,rate,28,0,1504,0
TZj,3,rate,36,0,1494,0
VVZ,3,rate,28,0,1492,0
Zbg,3,rate,28,0,1491,0
TTj,3,rate,46,0,1479,0
Tjj,3,rate,36,0,1470,0
TTZ,3,rate,46,0,1469,0
HZZ,3,rate,28,0,1467,0
TZZ,3,rate,36,0,1461,0
TVg,3,rate,36,0,1461,0
Tmt,3,rate,46,0,1441,0
bbe,3,rate,36,0,1440,0
Vmt,3,rate,36,0,1437,0
Hbe,3,rate,36,0,1437,0
HHe,3,rate,36,0,1434,0
VVj,3,rate,28,0,1423,0
bgj,3,rate,28,0,1419,0
gjt,3,rate,28,0,1411,0
TTV,3,rate,46,0,1395,0
ZZt,3,rate,28,0,1384,0
HZj,3,rate,28,0,1382,0
TVj,3,rate,36,0,1372,0
bbm,3,rate,36,0,1365,0
Het,3,rate,36,0,1350,0
Hjj,3,rate,28,0,1350,0
ZZb,3,rate,28,0,1348,0
Hbm,3,rate,36,0,1348,0
Zbj,3,rate,28,0,1346,0
bet,3,rate,36,0,1335,0
TVZ,3,rate,36,0,1328,0
TTb,3,rate,46,0,1328,0
HVg,3,rate,28,0,1326,0
HHm,3,rate,36,0,1323,0
Tbg,3,rate,36,0,1308,0
Tee,3,rate,28,0,1307,0
Vbg,3,rate,28,0,1306,0
bjj,3,rate,28,0,1300,0
Zjt,3,rate,28,0,1296,0
HTg,3,rate,36,0,1281,0
