composition,K,spectra,looks
eg,2,254,77949
gg,2,194,75893
ee,2,254,66244
Ze,2,254,52308
Zg,2,194,44667
ZZ,2,194,32117
gm,2,254,27559
em,2,254,26919
ej,2,254,26919
Zm,2,254,24283
Ve,2,254,21144
gj,2,194,21049
jm,2,254,19873
mm,2,254,19873
Zj,2,194,18547
Vm,2,254,16743
Vg,2,194,16420
jj,2,194,15179
He,2,254,15055
VZ,2,194,14363
et,2,254,13928
be,2,254,13897
Hm,2,254,12989
Vj,2,194,12788
bm,2,254,12569
mt,2,254,12016
Tg,2,254,11670
Te,2,254,11620
Hg,2,194,11608
Tj,2,254,10810
Tm,2,254,10810
TZ,2,254,10749
gt,2,194,10739
VV,2,194,10706
bg,2,194,10680
HZ,2,194,10450
Hj,2,194,9921
Zb,2,194,9794
Zt,2,194,9783
TV,2,254,9747
bj,2,194,9600
jt,2,194,9178
Tb,2,254,8996
HV,2,194,8618
Vb,2,194,8565
HT,2,254,8496
TT,2,254,8280
Vt,2,194,8067
Tt,2,254,7860
bb,2,194,7589
Hb,2,194,7308
HH,2,194,7265
Ht,2,194,6839
bt,2,194,6761
tt,2,194,6477
eeg,3,46,11155
egg,3,36,9931
ggg,3,28,9194
Zee,3,46,8612
Zeg,3,36,7297
Zgg,3,28,6239
eee,3,28,6129
ZZe,3,36,5628
egm,3,46,4922
eej,3,46,4817
ZZg,3,28,4671
Zem,3,46,4491
Vee,3,46,3945
ggm,3,36,3940
egj,3,36,3852
ZZZ,3,28,3755
gmm,3,46,3663
ejm,3,46,3619
Zgm,3,36,3587
Zej,3,36,3515
Zmm,3,46,3417
Vem,3,46,3157
ZZm,3,36,3136
Veg,3,36,3136
ggj,3,28,3065
jmm,3,46,3021
eem,3,28,2932
gjm,3,36,2867
Hee,3,46,2860
ejj,3,36,2832
Zgj,3,28,2790
VZe,3,36,2772
Vmm,3,46,2707
Zjm,3,36,2674
eet,3,46,2658
bee,3,46,2559
Vgm,3,36,2495
Vgg,3,28,2479
Hem,3,46,2478
Vej,3,36,2471
ZZj,3,28,2439
jjm,3,36,2364
bem,3,46,2319
emt,3,46,2303
Heg,3,36,2259
VZm,3,36,2235
gjj,3,28,2230
Hmm,3,46,2217
emm,3,28,2203
VZg,3,28,2189
Teg,3,46,2156
bmm,3,46,2136
Vjm,3,36,2119
egt,3,36,2099
VVe,3,36,2091
Zjj,3,28,2080
mmt,3,46,2060
TZe,3,46,2048
HZe,3,36,2044
beg,3,36,2015
Tgm,3,46,2006
Tej,3,46,1999
VZZ,3,28,1961
Hgm,3,36,1953
Vgj,3,28,1941
Hej,3,36,1939
Zet,3,36,1917
TZm,3,46,1909
Zbe,3,36,1906
Tjm,3,46,1878
TVe,3,46,1860
jjj,3,28,1839
mmm,3,28,1839
VVm,3,36,1829
bgm,3,36,1824
bej,3,36,1815
gmt,3,36,1814
ejt,3,36,1802
HZm,3,36,1777
Hgg,3,28,1774
TVm,3,46,1754
VZj,3,28,1738
Hjm,3,36,1735
Zbm,3,36,1730
HVe,3,36,1695
Tgg,3,36,1694
bjm,3,36,1672
Vbe,3,36,1671
Tbe,3,46,1667
Zmt,3,36,1666
ggt,3,28,1648
Vjj,3,28,1648
VVg,3,28,1640
HTe,3,46,1633
jmt,3,36,1612
TZg,3,36,1610
HZg,3,28,1604
Tbm,3,46,1595
Vet,3,36,1589
bgg,3,28,1577
Tgj,3,36,1570
HTm,3,46,1551
Vbm,3,36,1549
TTg,3,46,1539
HVm,3,36,1533
Hgj,3,28,1519
Tet,3,46,1517
Zgt,3,28,1504
TZj,3,36,1494
VVZ,3,28,1492
Zbg,3,28,1491
TTj,3,46,1479
Tjj,3,36,1470
TTZ,3,46,1469
HZZ,3,28,1467
TZZ,3,36,1461
TVg,3,36,1461
Tmt,3,46,1441
bbe,3,36,1440
Vmt,3,36,1437
Hbe,3,36,1437
HHe,3,36,1434
VVj,3,28,1423
bgj,3,28,1419
gjt,3,28,1411
TTV,3,46,1395
ZZt,3,28,1384
HZj,3,28,1382
TVj,3,36,1372
bbm,3,36,1365
Het,3,36,1350
Hjj,3,28,1350
ZZb,3,28,1348
Hbm,3,36,1348
Zbj,3,28,1346
bet,3,36,1335
TVZ,3,36,1328
TTb,3,46,1328
HVg,3,28,1326
HHm,3,36,1323
Tbg,3,36,1308
Tee,3,28,1307
Vbg,3,28,1306
bjj,3,28,1300
Zjt,3,28,1296
HTg,3,36,1281
ett,3,36,1277
HTT,3,46,1262
jjt,3,28,1254
bmt,3,36,1252
VVV,3,28,1252
Tbj,3,36,1248
TZb,3,36,1248
Hmt,3,36,1246
Vgt,3,28,1243
TVV,3,36,1226
HVZ,3,28,1220
Tem,3,28,1217
HTj,3,36,1214
Vbj,3,28,1204
HVj,3,28,1192
Tgt,3,36,1191
VZb,3,28,1184
mtt,3,36,1179
HTZ,3,36,1177
TVb,3,36,1174
TTt,3,46,1172
VZt,3,28,1151
Tmm,3,28,1143
Tjt,3,36,1128
bbg,3,28,1123
Hbg,3,28,1122
HHg,3,28,1121
Vjt,3,28,1118
Tbb,3,36,1104
TZt,3,36,1103
HTV,3,36,1097
Zbb,3,28,1070
VVb,3,28,1069
HVV,3,28,1067
bbj,3,28,1062
HTb,3,36,1056
Hgt,3,28,1055
Hbj,3,28,1048
bgt,3,28,1042
HHZ,3,28,1039
HHj,3,28,1029
TVt,3,36,1028
HZb,3,28,1028
VVt,3,28,1007
gtt,3,28,998
Vbb,3,28,995
HHT,3,36,992
HZt,3,28,984
Tbt,3,36,981
bjt,3,28,974
Hjt,3,28,969
Zbt,3,28,964
HVb,3,28,942
TTe,3,28,935
Ztt,3,28,934
HTt,3,36,934
HHV,3,28,932
bbb,3,28,919
jtt,3,28,917
TTm,3,28,900
Hbb,3,28,887
Ttt,3,36,884
Vbt,3,28,884
HVt,3,28,882
