estimator,kind,eps,mu,argmax,threshold,bh,bh_mc_err,thr_minus_argmax,argmax_is_signal,bh_nominal_q,argmax_budget
PERFECT estimator,glitch,0,3,7.1,8.1,7.6,0.13,+1.0,14.2,3.82e-01,1.350e-03
PERFECT estimator,glitch,0,4,38.5,42.5,40.5,0.30,+4.0,45.8,3.82e-01,1.350e-03
PERFECT estimator,glitch,0,5,78.5,82.5,80.9,0.26,+4.0,80.3,3.82e-01,1.350e-03
PERFECT estimator,glitch,0,6,96.3,97.7,97.1,0.11,+1.3,96.5,3.82e-01,1.350e-03
GLITCH  eps=1e-4,glitch,0.0001,3,6.2,7.4,6.9,0.12,+1.3,12.3,3.22e-01,1.350e-03
GLITCH  eps=1e-4,glitch,0.0001,4,34.6,40.6,39.3,0.30,+6.1,41.1,3.22e-01,1.350e-03
GLITCH  eps=1e-4,glitch,0.0001,5,73.2,81.2,80.1,0.27,+8.0,74.9,3.22e-01,1.350e-03
GLITCH  eps=1e-4,glitch,0.0001,6,93.1,97.3,97.0,0.12,+4.3,93.2,3.22e-01,1.350e-03
GLITCH  eps=1e-3,glitch,0.001,3,2.1,1.9,2.0,0.07,-0.2,4.1,1.39e-02,1.350e-03
GLITCH  eps=1e-3,glitch,0.001,4,15.3,18.3,18.3,0.25,+3.0,18.2,1.39e-02,1.350e-03
GLITCH  eps=1e-3,glitch,0.001,5,43.8,57.3,57.2,0.34,+13.6,44.8,1.39e-02,1.350e-03
GLITCH  eps=1e-3,glitch,0.001,6,72.2,88.7,88.4,0.22,+16.5,72.3,1.39e-02,1.350e-03
GLITCH  eps=1e-2,glitch,0.01,3,0.0,0.0,0.0,0.01,-0.0,0.1,4.24e-07,1.350e-03
GLITCH  eps=1e-2,glitch,0.01,4,0.7,0.4,0.5,0.04,-0.3,0.9,4.24e-07,1.350e-03
GLITCH  eps=1e-2,glitch,0.01,5,6.2,5.8,6.0,0.17,-0.4,6.3,4.24e-07,1.350e-03
GLITCH  eps=1e-2,glitch,0.01,6,24.2,28.7,28.6,0.32,+4.5,24.2,4.24e-07,1.350e-03
BIAS    eps=1e-4,bias,0.0001,3,,0.0,,,,12.3,,1.371e-01
BIAS    eps=1e-4,bias,0.0001,4,,0.0,,,,41.1,,1.371e-01
BIAS    eps=1e-4,bias,0.0001,5,,0.2,,,,74.9,,1.371e-01
BIAS    eps=1e-4,bias,0.0001,6,,3.3,,,,93.2,,1.371e-01
BIAS    eps=1e-3,bias,0.001,3,,0.0,,,,4.1,,6.872e-01
BIAS    eps=1e-3,bias,0.001,4,,0.0,,,,18.2,,6.872e-01
BIAS    eps=1e-3,bias,0.001,5,,0.0,,,,44.8,,6.872e-01
BIAS    eps=1e-3,bias,0.001,6,,0.1,,,,72.3,,6.872e-01
BIAS    eps=1e-2,bias,0.01,3,,0.0,,,,0.1,,9.568e-01
BIAS    eps=1e-2,bias,0.01,4,,0.0,,,,0.9,,9.568e-01
BIAS    eps=1e-2,bias,0.01,5,,0.0,,,,6.3,,9.568e-01
BIAS    eps=1e-2,bias,0.01,6,,0.0,,,,24.2,,9.568e-01
