object_1,object_2,status,ns,n_axes,axes
e,e,scanned,629.5,3,m(ee); m(ee) (Zd); m(ee) SS
e,mu,scanned,220.9,2,m(emu) LFV; m(emu) SS
e,tau,scanned,28.3,1,m(etau) LFV
e,j,scanned,107.3,1,m(ej)
e,b,scanned,57.6,1,m(eb)
e,t,gap,52.3,0,
e,ga,scanned,214.6,1,m(egamma)
e,V,scanned,79.9,1,m(eZ)
e,H,gap,50.3,0,
mu,mu,scanned,486.1,3,m(mumu); m(mumu) (Zd); m(mumu) SS
mu,tau,scanned,28.3,1,m(mutau) LFV
mu,j,scanned,80.5,1,m(muj)
mu,b,scanned,46.1,1,m(mub)
mu,t,gap,45.5,0,
mu,ga,scanned,107.3,1,m(mugamma)
mu,V,scanned,59.9,1,m(muZ)
mu,H,gap,43.7,0,
tau,tau,scanned,42.9,1,m(tautau)
tau,j,scanned,32.2,1,m(tauj)
tau,b,scanned,19.2,1,m(taub)
tau,t,gap,30.7,0,
tau,ga,scanned,40.2,1,m(taugamma)
tau,V,gap,32.9,0,
tau,H,gap,29.6,0,
j,j,scanned,73.8,1,m(jj)
j,b,scanned,134.9,2,m(bj); m(cb) dijet
j,t,scanned,26.9,1,m(tj)
j,ga,scanned,66.0,1,m(jgamma)
j,V,gap,70.8,0,
j,H,gap,58.2,0,
b,b,scanned,40.1,1,m(bb)
b,t,scanned,43.8,1,m(tb)
b,ga,scanned,64.4,1,m(bgamma)
b,V,scanned,62.6,2,m(Wb); m(bZ)
b,H,gap,39.2,0,
t,t,scanned,55.6,2,m(tt); m(tt)/m(jj)
t,ga,scanned,38.4,1,m(tgamma)
t,V,scanned,39.7,2,m(tW); m(ttZ)/m(Zt)
t,H,scanned,13.7,1,m(Ht)
ga,ga,scanned,401.7,1,m(gammagamma)
ga,V,scanned,110.2,1,m(Vgamma)
ga,H,gap,51.6,0,
V,V,scanned,56.7,1,m(VV)
V,H,scanned,53.6,1,m(Vh)
H,H,scanned,39.7,1,m(HH)
